id_text,source,target,Type,ancient_author,recipient
P313471,Nabu-ahu-uṣur,Inṣabri,undirected,Šarru-emuranni,
P313471,Nabu-ahu-uṣur,Šamaš-ukin,undirected,Šarru-emuranni,
P313471,Inṣabri,Nabu-ahu-uṣur,undirected,Šarru-emuranni,
P313471,Inṣabri,Šamaš-ukin,undirected,Šarru-emuranni,
P313473,Aššur-patinu,Ilu-illika,undirected,Aššur-patinu,
P313587,Rusa,Ariye,undirected,Aššur-reṣuwa,
P313587,Rusa,Ariaza,undirected,Aššur-reṣuwa,
P313587,Ariye,Ariaza,undirected,Aššur-reṣuwa,
P334361,Adad-isseʾa,Šari,undirected,Adad-issiya,
P334361,Adad-isseʾa,Nabu-eriba,undirected,Adad-issiya,
P334361,Adad-isseʾa,Sani,undirected,Adad-issiya,
P334361,Šari,Nabu-eriba,undirected,Adad-issiya,
P334361,Šari,Sani,undirected,Adad-issiya,
P334361,Nabu-eriba,Sani,undirected,Adad-issiya,
P397189,Nashir-Bel,Seʾ-gabbari,undirected,Nashir-Bel,
P224392,Mahde,Nabuʾa,undirected,Mahde,
P334257,Aššur-reṣuwa,Abaliuqunu,undirected,Aššur-reṣuwa,
P334257,Aššur-reṣuwa,Ṭunbaun,undirected,Aššur-reṣuwa,
P334257,Abaliuqunu,Ṭunbaun,undirected,Aššur-reṣuwa,
P313451,Sin-ahhe-eriba,Tuʾaya,undirected,Sin-ahhe-eriba,
P334222,Adad-isseʾa,Kubaba-ilaʾi,undirected,Adad-issiya,
P334222,Adad-isseʾa,Nergal-belu-uṣur,undirected,Adad-issiya,
P334222,Kubaba-ilaʾi,Nergal-belu-uṣur,undirected,Adad-issiya,
P334339,Aššur-reṣuwa,Kaqqadanu,undirected,Aššur-reṣuwa,
P313812,Gabbu-ana-Aššur,Naʾdi-ilu,undirected,,
P313812,Gabbu-ana-Aššur,Musani,undirected,,
P313812,Naʾdi-ilu,Musani,undirected,,
P337151,Aššur-zeru-ibni,Nergal-eṭir,undirected,Aššur-zeru-ibni,
P334282,Abat-šarri-uṣur,Nabu-ereš,undirected,Abat-šarri-uṣur,
P313480,Nashir-Bel,Aššur-remanni,undirected,Nashir-Bel,
P313480,Nashir-Bel,Ašipa,undirected,Nashir-Bel,
P313480,Aššur-remanni,Ašipa,undirected,Nashir-Bel,
P334786,Aššur-reṣuwa,Kaqqadanu,undirected,Aššur-reṣuwa,
P334786,Aššur-reṣuwa,Urzana,undirected,Aššur-reṣuwa,
P334786,Aššur-reṣuwa,Ariaza,undirected,Aššur-reṣuwa,
P334786,Aššur-reṣuwa,Ariye,undirected,Aššur-reṣuwa,
P334786,Kaqqadanu,Urzana,undirected,Aššur-reṣuwa,
P334786,Kaqqadanu,Ariaza,undirected,Aššur-reṣuwa,
P334786,Kaqqadanu,Ariye,undirected,Aššur-reṣuwa,
P334786,Urzana,Ariaza,undirected,Aššur-reṣuwa,
P334786,Urzana,Ariye,undirected,Aššur-reṣuwa,
P334786,Ariaza,Ariye,undirected,Aššur-reṣuwa,
P334305,Upaq-Šamaš,Adad-remanni,undirected,Upaq-Šamaš,
P334305,Upaq-Šamaš,Ea-šarru-ibni,undirected,Upaq-Šamaš,
P334305,Upaq-Šamaš,Zaba-iqiša,undirected,Upaq-Šamaš,
P334305,Upaq-Šamaš,Rusa,undirected,Upaq-Šamaš,
P334305,Adad-remanni,Ea-šarru-ibni,undirected,Upaq-Šamaš,
P334305,Adad-remanni,Zaba-iqiša,undirected,Upaq-Šamaš,
P334305,Adad-remanni,Rusa,undirected,Upaq-Šamaš,
P334305,Ea-šarru-ibni,Zaba-iqiša,undirected,Upaq-Šamaš,
P334305,Ea-šarru-ibni,Rusa,undirected,Upaq-Šamaš,
P334305,Zaba-iqiša,Rusa,undirected,Upaq-Šamaš,
P334071,Gabbu-ana-Aššur,Nabu-leʾi,undirected,Gabbu-ana-Aššur,
P334071,Gabbu-ana-Aššur,Aššur-belu-udaʾʾan,undirected,Gabbu-ana-Aššur,
P334071,Gabbu-ana-Aššur,Aššur-reṣuwa,undirected,Gabbu-ana-Aššur,
P334071,Nabu-leʾi,Aššur-belu-udaʾʾan,undirected,Gabbu-ana-Aššur,
P334071,Nabu-leʾi,Aššur-reṣuwa,undirected,Gabbu-ana-Aššur,
P334071,Aššur-belu-udaʾʾan,Aššur-reṣuwa,undirected,Gabbu-ana-Aššur,
P334291,Nashir-Bel,Argisti,undirected,Nashir-Bel,
P334321,Nergal-belu-uṣur,Abat-šarri-uṣur,undirected,Dinanu,
P334256,Aššur-reṣuwa,Setinu,undirected,Aššur-reṣuwa,
P334256,Aššur-reṣuwa,Suna,undirected,Aššur-reṣuwa,
P334256,Setinu,Suna,undirected,Aššur-reṣuwa,
