label,eponym,Id
Bel-ahhe-riba,False,Bel-ahhe-riba
Abi-yaqa,False,Abi-yaqa
Urdu-Sin,False,Urdu-Sin
Ammi-leti,False,Ammi-leti
Zabayu,False,Zabayu
Kutayu,False,Kutayu
Bel-duri,False,Bel-duri
Balassu,False,Balassu
Ilaʾi-Bel,False,Ilaʾi-Bel
Yanzu,False,Yanzu
Adda-šumki,False,Adda-šumki
Mardi,False,Mardi
Ṣallaya,False,Ṣallaya
Nabu-nadin-ahi,False,Nabu-nadin-ahi
Seʾ-lukidi,False,Seʾ-lukidi
Aššur-zeru-ibni,False,Aššur-zeru-ibni
Tuʾaya,False,Tuʾaya
Sargon,False,Sargon
City rulers,False,City rulers
Nabu-duru-uṣur,False,Nabu-duru-uṣur
Ilu-biʾdi,False,Ilu-biʾdi
Ašpa-bara,False,Ašpa-bara
Il-yadaʾ or Šarru-emuranni,False,Il-yadaʾ or Šarru-emuranni
Zazaya,False,Zazaya
Bel-leʾi,False,Bel-leʾi
Nabu-remanni,False,Nabu-remanni
Argisti,False,Argisti
Iqiša-Marduk,False,Iqiša-Marduk
Šarru-emuranni,True,Šarru-emuranni
Ubru-Libbali,False,Ubru-Libbali
Abu-ul-idi,False,Abu-ul-idi
Biriaun,False,Biriaun
Ṭunbaun,False,Ṭunbaun
Iršumu,False,Iršumu
Aššur-belu-taqqin,False,Aššur-belu-taqqin
Aššur-bessunu,False,Aššur-bessunu
Hu-Teššub,False,Hu-Teššub
Umadi,False,Umadi
Nabu-eṭir-napšati,False,Nabu-eṭir-napšati
Bar-Ṣaruri,False,Bar-Ṣaruri
Bel-ilaʾi,False,Bel-ilaʾi
Aššur-dalal,False,Aššur-dalal
Barik-il,False,Barik-il
Narage,False,Narage
Aššur-ilaʾi,False,Aššur-ilaʾi
Bel-uṣur,False,Bel-uṣur
Bel-deni-amur,False,Bel-deni-amur
Kakkullanu,False,Kakkullanu
Patamu,False,Patamu
Uppite,False,Uppite
Qanni,False,Qanni
Kummaya,False,Kummaya
Nabu-hamatua,False,Nabu-hamatua
Ariṣa,False,Ariṣa
Il-dala,False,Il-dala
Abile,False,Abile
Marduk-eriba,False,Marduk-eriba
Inurta-ilaʾi,False,Inurta-ilaʾi
Amat-Bel-uṣur,False,Amat-Bel-uṣur
Abattu,False,Abattu
Kuza,False,Kuza
Eni-il,False,Eni-il
Tariba-Issar,False,Tariba-Issar
Mannu-ki-Aššur-leʾi,False,Mannu-ki-Aššur-leʾi
Haldi-abu-uṣur,False,Haldi-abu-uṣur
Raši-Marduk,False,Raši-Marduk
Lili,False,Lili
Mar-Zeri,False,Mar-Zeri
Atta-idri,False,Atta-idri
Mušezibu,False,Mušezibu
Ina-qibi-Bel-abluṭ,False,Ina-qibi-Bel-abluṭ
Ubru-Nabu,False,Ubru-Nabu
Eriba,False,Eriba
Labarmu,False,Labarmu
Bel-liqbi,False,Bel-liqbi
Palace supervisor,False,Palace supervisor
Nergal-šarrani,False,Nergal-šarrani
Nagaha,False,Nagaha
Išme-ilu,False,Išme-ilu
Mar-Issar,False,Mar-Issar
Guhuru,False,Guhuru
Ahhutun,False,Ahhutun
Ša-Aššur-dubbu,True,Ša-Aššur-dubbu
Nabu-deni-epuš,False,Nabu-deni-epuš
Taklak-ana-Bel,True,Taklak-ana-Bel
Abu-lešir,False,Abu-lešir
Sin-iddina,False,Sin-iddina
Huli,False,Huli
Nabu-bel-šumati,False,Nabu-bel-šumati
Marduk-šumu-iddina,False,Marduk-šumu-iddina
