transliteration,normalization,remarks
A-šir{ki},Aššur[]SN,
A-šum{ki}-še₃,Ašum[]SN,
A-šur₅,Aššur[]PN,
A-šur₅-ra-še₃,Aššur[]PN,
A-šur₅-ra{ki},Aššur[]SN,
A-šur₅{ki},Aššur[]SN,
A-da-a,Adda[]PN,
A-da-da,Adada[]PN,
A-da-gal,Adaggal[]PN,
A-da-gal-šum,Adaggalšum[]PN,
A-da-gal-šum-e,Adaggalšum[]PN,
A-da-la₂-a,Addalal[]PN,
A-da-lal₃,Addalal[]PN,
A-da-lal₃-bi,Addalalbi[]PN,
A-da-lal₃-ta,Addalal[]PN,
A-da-ni-ta,Addani[]PN,
A-da-ti-ta,Adati[]PN,= Adatum?
A-da-tum,Adatum[]PN,= Adati?
A-dam-DUN,A.dam.DUN[]SN,= Elam (generally in context with Susa; = Elamite Haltamti)?
A-dam-DUN{ki},A.dam.DUN{ki}[]SN,
A-dam-DUN{ki}-še₃,A.dam.DUN{ki}[]SN,
A-dam-DUN{ki}-ke₄,A.dam.DUN{ki}[]SN,
A-dam-DUN{ki}-ta,A.dam.DUN{ki}[]SN,
A-ga-a,Aga[]PN,
A-ga-de₃{ki},Agade[]SN,
A-ga-lum,Agalum[]PN,
A-ga-tum,Agatum[]PN,
A-gaz{ki},Agaz[]SN,
A-ge,Ayagina[]PN,"or, Ayagin, Agina"
A-gi-pu-um,Agipum[]PN,
A-gu,Agu[]PN,
A-gu-a,Aguʾa[]PN,
A-gu-a-li₂,Aguʾali[]PN,
A-gu-a-ni,Aguʾali[]PN,
A-gu-a-si₂-im-ti,Aguʾasimti[]PN,
A-gu-a-ta,Aguʾa[]PN,
A-gu-da,Aguda[]PN,
A-gu-du,Agudu[]PN,
A-gu-gu-ta,Agugu[]PN,
A-gu-nu-um,Agunum[]PN,
A-gub-ba,Aguba[]PN,= Agube?
A-ha-am-wa-qar,Ahamwaqar[]PN,
A-ha-an-ši-bu,Ahanšibu[]PN,
A-ha-an-ši-pu,Ahanšibu[]PN,
A-ha-an-ši₂-bu,Ahanšibu[]PN,
A-ha-an-ni-šu,Ahanišu[]PN,
A-ha-an-ni-šu-ta,Ahanišu[]PN,
A-ha-an-si-pu,Ahanšibu[]PN,
A-ha-an-ti-bu,Ahantibu[]PN,
A-ha-ši-pu,Ahanšibu[]PN,
A-ha-šu,Ahašum[]PN,
A-ha-šu-um,Ahašum[]PN,
A-ha-ma-ti,Ayahamatil[]PN,
A-ha-ni-šu,Ahanišu[]PN,
A-ha-ni-šu-ta,Ahanišu[]PN,
A-ha-ni-zu,Ahanišu[]PN,typo; TRU 050 copy & photo show ŠU
A-ha-tum,Ahatum[]PN,
A-hi-DINGIR,Ahiʾilum[]PN,"or, Ahiʾili"
A-hi-DINGIR-ta,Ahiʾilum[]PN,
A-hi-ma,Ahima[]PN,
A-hi-ma-ra,Ahima[]PN,
A-hi-ma-ta,Ahima[]PN,
A-hu-DU₁₀,Ahuṭab[]PN,
A-hu-DU₁₀-še₃,Ahuṭab[]PN,
A-hu-DU₁₀-ta,Ahuṭab[]PN,
A-hu-We-er,AhuWer[]PN,
A-hu-We-er--ta,AhuWer[]PN,typo
A-hu-We-er-še₃,AhuWer[]PN,
A-hu-We-er-ta,AhuWer[]PN,
A-hu-a,Ahuʾa[]PN,
A-hu-a-hi,Ahuʾahi[]PN,uncertain
A-hu-a-ni,Ahuʾani[]PN,
A-hu-a-ta,Ahuʾa[]PN,
A-hu-a-ti,Ahuʾati[]PN,
A-hu-ba-qar,Ahuwaqar[]PN,
A-hu-šu-ni,Ahušuni[]PN,
A-hu-šu-ni-ZE₂,A.hu.šu.ni.ZE₂[]PN,SET 063 r i 20 (rev. photo)
A-hu-šu-ni-ta,Ahušuni[]PN,
A-hu-ki-in,Ahukin[]PN,
A-hu-ma,Ahuma[]PN,
A-hu-ni,Ahuni[]PN,= Ahunim?
A-hu-ni-šu,Ahunišu[]PN,
A-hu-ni-im,Ahunim[]PN,gen of Ahunum? (SET 093 o 18: 1 gud kišib A-hu-ni-im)
A-hu-ni-ta,Ahuni[]PN,
A-hu-ti{ki},Ahuti[]SN,
A-hu-um,Ahum[]PN,
A-hu-um-BA,A.hu.um.BA[]PN,= Ahumbani?; Nik. 2 461 r 9 (copy)
A-hu-um-DINGIR,Ahumili[]PN,"or, Ahumilum"
A-hu-um-ba-ni,Ahumbani[]PN,
A-hu-um-ma,Ahuma[]PN,
A-hu-wa-qar,Ahuwaqar[]PN,
A-hu-wa-qar-ta,Ahuwaqar[]PN,
A-hu-we-er,AhuWer[]PN,
A-hu-we-er-ta,AhuWer[]PN,
A-i₃-li₂-su,Abuʾilušu[]PN,
A-kal-la,Ayakala[]PN,
A-kal-la-ta,Ayakala[]PN,
A-ki-a,Akiʾa[]PN,
A-kiri₃-zal,Akirizal[]PN,"or, Ayakirizal"
A-ku-a,Akuʾa[]PN,
A-la-la-a,Alala[]PN,
A-la-la₂,Alala[]PN,
A-la-mu,Alaŋu[]PN,Allaŋu?
A-la-mu-ta,Alaŋu[]PN,
A-la-ru-um,Alarum[]PN,
A-la-sum,Alasum[]PN,= Alazum?
A-la-zum,Alazum[]PN,= Alasum?
A-lal₃-la-lum,Alalalum[]PN,
A-li,Ali[]PN,
A-li-ah,Aliʾah[]PN,
A-li₂-DU₁₀,Aliṭab[]PN,
A-li₂-ah,Aliʾah[]PN,
A-li₂-li₂,Alili[]PN,
A-li₂-ni-šu,Alinišu[]PN,
A-lu-ṭa-bum₂,Aluṭabum[]PN,
A-lu-um{ki},Alum[]SN,
A-ma-ad,Amat[]PN,
A-ma-an-ne-en,Amanen[]PN,
A-ma-an-ne-en₆,Amanen[]PN,
A-ma-la,Amala[]PN,
A-ma-ne-en-ŠA,A.ma.ne.en.ŠA[]PN,AnOr 07 102 r 2 (copy/photo)
A-ma-si₂-li,Amasili[]PN,
A-maš-ti-ak,Amaštiʾak[]WN,PDT 2 0918 r iii 7: gu2 i7 A-maš-ti-ak
A-mi-ir-AN,Amirili[]PN,
A-mi-ir-{d}Šul-gi,AmirŠulgi[]PN,
A-mu-a,Amuʾa[]PN,
A-mu-er₂-LU-numun,Amuʾa[]PN,MVN 13 458 o 9: A-mu-a u₃-kul (photo)
A-mur-An-num₂,Amurili[]PN,uncertain (Amurilum?)
A-mur-DINGIR,Amurili[]PN,
A-mur-DINGIR-ta,Amurili[]PN,
A-mur-E₂-a,AmurEa[]PN,
A-mur-E₂-a-ta,AmurEa[]PN,
A-mur-da-ku-um,Amurdaqqum[]PN,'I have seen a child'?
A-mur-{d}Šul-gi,AmurŠulgi[]PN,
A-mur-{d}Suen,AmurSuʾen[]PN,
A-mur-{d}UTU,AmurŠamaš[]PN,
A-na-a,Anaa[]PN,
A-na-a-MU,Anaŋu[]PN,
A-na-ab-E₂-a,AnabEa[]PN,
A-na-ah-i₃-li₂,Anahili[]PN,
A-na-at-E₂-a,AnatEa[]PN,
A-na-ha,Anaha[]PN,
A-na-lu₂,Analu[]PN,
A-na-na,Anana[]PN,
A-na-ni-ak,Ananiʾak[]PN,= Ananiʾa?
A-na-nu-um-DINGIR,Ananumilum[]PN,
A-na-ti,Anati[]PN,= Anatum?
A-na-ti-ta,Anati[]PN,
A-na-tum,Anatum[]PN,= Anati?
A-ni-a,Aniʾa[]PN,
A-ni₂-ti-dam,Anitidam[]PN,
A-nu-il,Anuʾil[]PN,'Anu is god' (stat absol)?
A-num₂-me-il-lum,Anumilum[]PN,
A-pi-la-ša,Apilaša[]PN,= Apilašam?
A-pi-la-ša-am,Apilašam[]PN,= Apilaša?
A-pi-la-nu-um,Apilanum[]PN,
A-pi-te-el₂,Apitel[]PN,Hurrian?
A-pi₂-ak{ki},Apiʾak[]SN,
A-pi₂-ak{ki}-ka,Apiʾak[]SN,
A-pi₂-ak{ki}-ta,Apiʾak[]SN,
A-pi₅-ak{ki},Apiʾak[]SN,
A-pi₅-la-ša,Apilaša[]PN,
A-pi₅-la-ta,Apila[]PN,
A-pi₅-la-ti,Apilati[]PN,= Apilatum?
A-pi₅-la-tum,Apilatum[]PN,= Apilati?
A-pi₅-li₂,Apili[]PN,
A-pi₅-li₂-a,Apiliʾa[]PN,
A-pil₂-sa-um,Apilsaʾum[]PN,
A-pu-nu-um,Apunum[]PN,
A-ra-ap-hu-um{ki},Arraphum[]SN,
A-ra-mi{ki},Arami[]SN,
A-ra-zu-{d}I-bi₂-{d}Suen-ka-še₃-pa₃-da,ArazuIbbiSuʾenakšepada[]PN,AUAM 73.2209 o ii 6 (en Eridu) 'found acc. to the supplication of IbbiSuen'?
A-ra-zu-{d}I-bi₂-{d}Suen-na-pa₃-da,ArazuIbbiSuʾenakšepada[]PN,AUAM 73.2209 r i 11 (en Eridu) 'found acc. to the supplication of IbbiSuen'?
A-ra₂-mu,Araŋu[]PN,
A-ri-du-bu-uk,Aridubuk[]PN,Elamite?
A-ri-ip-a-tal,Aripatal[]PN,Hurrian
A-ri-ip-hu-up-pi₂,Ariphuppi[]PN,Hurrian
A-ri₂-bi,Aribi[]PN,
A-ri₂-bi-um{ki},Aribiʾum[]SN,
A-ri₂-ip-a-tal,Aripatal[]PN,Hurrian
A-ri₂-ip-hu-up-pi₂,Ariphuppi[]PN,Hurrian
A-ṣa-ru-um-a-ur₂-ra{ki},Aṣarumaʾura[]SN,
A-ṣa-ru-um-a-ur₂-ra{ki}-ka,Aṣarumaʾura[]SN,
A-ṣa-ru-um-da-gi,Aṣarumdaqqi[]SN,
A-ta-a,Atta[]PN,uncertain
