id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
X900005,Bel-iqbi,Amiru,undirected,Adda-hati,Sargon II,SAA01.08.02.a,Hamath,
P313417,Mannu-ki-Aššur-leʾi,Bel-duri,undirected,Mannu-ki-Aššur-leʾi,Sargon II,SAA01.13.01.c,Guzana,
P313417,Bel-duri,Mannu-ki-Aššur-leʾi,undirected,Mannu-ki-Aššur-leʾi,Sargon II,SAA01.13.01.c,Guzana,
P334103,Issar-duri,Nabu-šumu-iddina,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Issar-duri,Nabu-eriba,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Issar-duri,Šamaš-belu-uṣur,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-šumu-iddina,Nabu-eriba,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-šumu-iddina,Šamaš-belu-uṣur,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-šumu-iddina,Issar-duri,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-eriba,Šamaš-belu-uṣur,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-eriba,Issar-duri,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Nabu-eriba,Nabu-šumu-iddina,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Šamaš-belu-uṣur,Issar-duri,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334103,Šamaš-belu-uṣur,Nabu-šumu-iddina,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
